Load_MPa,Time_day,Strain_dimensionless
7,0.0623621520249198,0.846276785714286
7,0.0644573349473641,0.849401785714286
7,0.0666073920904285,0.852526785714286
7,0.068941492800409,0.855839285714286
7,0.0712126813836852,0.858973214285714
7,0.0737277891654905,0.862352678571429
7,0.0761642594964351,0.865544642857143
7,0.0786524509056793,0.868723214285714
7,0.0814086426096184,0.87215625
7,0.0840485804612423,0.875352678571429
7,0.0869388797961624,0.878772321428572
7,0.0898687391990676,0.882138392857143
7,0.0930210750636417,0.885674107142857
7,0.0960375834979714,0.888964285714286
7,0.0992971993584592,0.892428571428572
7,0.102660617093055,0.895910714285714
7,0.106297022652773,0.899575892857143
7,0.109806148996753,0.903022321428571
7,0.113551976644691,0.906598214285714
7,0.117265480451339,0.910058035714286
7,0.121277876008857,0.913691964285715
7,0.125423387157943,0.917352678571429
7,0.129663127050277,0.920991071428571
7,0.134108650117638,0.924705357142857
7,0.138558959590598,0.928330357142857
7,0.143195066528512,0.932
7,0.14801092049829,0.93571875
7,0.153197618007042,0.939611607142857
7,0.158191864263015,0.943258928571429
7,0.163604610886843,0.947107142857143
7,0.169326482864207,0.951066964285714
7,0.175225144275931,0.95503125
7,0.180835156592851,0.958705357142857
7,0.187041345918012,0.96265625
7,0.193351114699637,0.966571428571429
7,0.199747404801432,0.970428571428572
7,0.206685174987915,0.9745
7,0.213572316934324,0.978428571428571
7,0.220828532962951,0.982455357142857
7,0.228551741909899,0.986625
7,0.236222539889965,0.990647321428572
7,0.244069555243336,0.994651785714286
7,0.252286357320985,0.998736607142857
7,0.260727720730271,1.00280803571429
7,0.26963092297667,1.00699107142857
7,0.279033077752918,1.01128125
7,0.288417357447556,1.01544196428571
7,0.298027970693841,1.01959375
7,0.308112589624776,1.02382142857143
7,0.318570252628949,1.02808482142857
7,0.329108944152823,1.03226339285714
7,0.340154706495008,1.03652232142857
7,0.351781848844419,1.040875
7,0.364145575501157,1.045375
7,0.375691531804386,1.04945982142857
7,0.389037972373005,1.05404910714286
7,0.401774097470219,1.05830357142857
7,0.415618141705556,1.06279910714286
7,0.429624564647157,1.06721428571429
7,0.443925696622873,1.07159821428571
7,0.459344442443905,1.0761875
7,0.474461163450716,1.08055803571429
7,0.491054864696545,1.08522321428571
7,0.507519068893254,1.08971875
7,0.524867047170157,1.0943125
7,0.542464914255892,1.09883928571429
7,0.560932737089146,1.10345982142857
7,0.579643368534612,1.108
7,0.599396851110798,1.11265625
7,0.619823506356712,1.11733035714286
7,0.640413262833918,1.12190625
7,0.662347902015979,1.12664285714286
7,0.684099799907804,1.13120535714286
7,0.707742674183843,1.13601785714286
7,0.730693513491497,1.14055357142857
7,0.755997007090817,1.14541071428571
7,0.782150717248342,1.15028571428571
7,0.809370803735885,1.15520089285714
7,0.835700689971228,1.15981696428571
7,0.864352834795993,1.16469642857143
7,0.893660132865,1.16953571428571
7,0.923346397294099,1.17429464285714
7,0.955257768686698,1.17926339285714
